RESULTS LOOP 1
 
schedule, num-threads, mean time (s), std
"static", 4, 0.728231, 0.00666976
"auto", 4, 0.430124, 0.00860091
"static,1", 4, 0.481388, 0.0319373
"static,2", 4, 0.451891, 0.0298839
"static,4", 4, 0.467681, 0.0250977
"static,8", 4, 0.462157, 0.0250929
"static,16", 4, 0.471986, 0.0222526
"static,32", 4, 0.490942, 0.0162345
"static,64", 4, 0.538883, 0.0171833
"dynamic,1", 4, 0.460126, 0.0069964
"dynamic,2", 4, 0.443026, 0.00900873
"dynamic,4", 4, 0.434388, 0.00780827
"dynamic,8", 4, 0.430674, 0.00608488
"dynamic,16", 4, 0.42792, 0.00766377
"dynamic,32", 4, 0.427667, 0.0082635
"dynamic,64", 4, 0.459919, 0.00837936
"guided,1", 4, 0.434381, 0.0120444
"guided,2", 4, 0.432622, 0.0123446
"guided,4", 4, 0.432052, 0.0134753
"guided,8", 4, 0.431721, 0.0135889
"guided,16", 4, 0.43101, 0.0144585
"guided,32", 4, 0.438409, 0.0131864
"guided,64", 4, 0.440735, 0.0127809
"dynamic,8", 1, 1.64584, 0.00368912
"dynamic,8", 2, 0.842835, 0.000531856
"dynamic,8", 4, 0.432655, 0.0101219
"dynamic,8", 6, 0.300801, 0.0106516
"dynamic,8", 8, 0.229031, 0.00784543
"dynamic,8", 12, 0.159318, 0.00782003
"dynamic,8", 16, 0.126953, 0.00697052
"dynamic,16", 1, 1.6453, 0.000578072
"dynamic,16", 2, 0.837223, 0.00103113
"dynamic,16", 4, 0.432996, 0.0128874
"dynamic,16", 6, 0.303278, 0.0114546
"dynamic,16", 8, 0.23483, 0.00944744
"dynamic,16", 12, 0.162625, 0.00981424
"dynamic,16", 16, 0.138232, 0.00830332
