RESULTS LOOP 2

schedule, num-threads, mean time (s), std
"static", 4, 6.35165, 0.0350881
"auto", 4, 5.5247, 0.0176731
"static,1", 4, 4.09267, 0.0922924
"static,2", 4, 3.02777, 0.0478233
"static,4", 4, 2.7703, 0.0496694
"static,8", 4, 2.4068, 0.0457846
"static,16", 4, 3.18633, 0.0415496
"static,32", 4, 4.91394, 0.0732637
"static,64", 4, 5.55721, 0.0367112
"dynamic,1", 4, 2.76134, 0.0153146
"dynamic,2", 4, 2.72649, 0.0267236
"dynamic,4", 4, 2.61394, 0.0205074
"dynamic,8", 4, 2.23896, 0.007317
"dynamic,16", 4, 2.23559, 0.00661029
"dynamic,32", 4, 3.94226, 0.00563607
"dynamic,64", 4, 5.00349, 0.0262898
"guided,1", 4, 5.52794, 0.0151542
"guided,2", 4, 5.52264, 0.00682783
"guided,4", 4, 5.52289, 0.00714884
"guided,8", 4, 5.52478, 0.00667864
"guided,16", 4, 5.52349, 0.00793705
"guided,32", 4, 5.5337, 0.0532817
"guided,64", 4, 5.52464, 0.00727738
"dynamic,8", 1, 8.84836, 0.0118572
"dynamic,8", 2, 4.47205, 0.0267216
"dynamic,8", 4, 2.24335, 0.0149983
"dynamic,8", 6, 1.57948, 0.00278181
"dynamic,8", 8, 1.18862, 0.00595288
"dynamic,8", 12, 1.07591, 0.00545212
"dynamic,8", 16, 1.12147, 0.104849
"dynamic,16", 1, 8.84144, 0.00223376
"dynamic,16", 2, 4.4724, 0.0219584
"dynamic,16", 4, 2.238, 0.0109948
"dynamic,16", 6, 2.10475, 0.00540151
"dynamic,16", 8, 2.1094, 0.00828331
"dynamic,16", 12, 2.15194, 0.0914204
"dynamic,16", 16, 2.12471, 0.0478785
