RESULTS LOOP 2

schedule, num-threads, mean time (s), std
"static", 4, 6.30744, 0.0036555
"auto", 4, 5.51841, 0.0017255
"static,1", 4, 4.12778, 0.0218645
"static,2", 4, 2.94596, 0.0087285
"static,4", 4, 2.6086, 0.102867
"static,8", 4, 2.42752, 0.048002
"static,16", 4, 3.47244, 0.311498
"static,32", 4, 4.85942, 0.0032675
"static,64", 4, 5.51297, 0.0003965
"dynamic,1", 4, 2.77083, 0.0127095
"dynamic,2", 4, 2.73696, 0.0116725
"dynamic,4", 4, 2.60396, 0.0113555
"dynamic,8", 4, 2.24307, 0.0025665
"dynamic,16", 4, 2.24776, 0.0044515
"dynamic,32", 4, 3.94948, 0.008623
"dynamic,64", 4, 4.9961, 1.09999e-05
"guided,1", 4, 5.52522, 0.0096915
"guided,2", 4, 5.52372, 0.0028575
"guided,4", 4, 5.52547, 0.001966
"guided,8", 4, 5.52907, 0.0142615
"guided,16", 4, 5.52188, 0.0025155
"guided,32", 4, 5.57559, 0.062929
"guided,64", 4, 5.51386, 0.002436
"guided,4", 1, 8.78285, 0.0009255
"guided,4", 2, 6.30462, 0.0022105
"guided,4", 4, 5.51593, 0.001771
"guided,4", 8, 4.52906, 0.0356955
"guided,4", 16, 2.90361, 0.0034955
