RESULTS LOOP 1
 
schedule, num-threads, mean time (s), std
"static", 4, 0.722732, 0.0006595
"auto", 4, 0.45329, 0.0333175
"static,1", 4, 0.721054, 0.037886
"static,2", 4, 0.538411, 0.0025105
"static,4", 4, 0.480446, 0.0527825
"static,8", 4, 0.476268, 0.044004
"static,16", 4, 0.555045, 0.0067775
"static,32", 4, 0.521422, 0.031256
"static,64", 4, 0.528656, 0.000296
"dynamic,1", 4, 0.469112, 0.0121275
"dynamic,2", 4, 0.458686, 0.0045415
"dynamic,4", 4, 0.486159, 0.0564285
"dynamic,8", 4, 0.425975, 0.0004085
"dynamic,16", 4, 0.447885, 0.000671
"dynamic,32", 4, 0.450194, 0.000738
"dynamic,64", 4, 0.453323, 0.0002515
"guided,1", 4, 0.434968, 0.0136335
"guided,2", 4, 0.474502, 0.0248465
"guided,4", 4, 0.467196, 0.019486
"guided,8", 4, 0.468889, 0.021122
"guided,16", 4, 0.472316, 0.024364
"guided,32", 4, 0.455456, 0.0285325
"guided,64", 4, 0.477383, 0.011415
"guided,4", 1, 1.64588, 0.0001375
"guided,4", 2, 0.875779, 0.048258
"guided,4", 4, 0.483816, 0.0031785
"guided,4", 6, 0.354983, 0.015261
"guided,4", 8, 0.259694, 0.0045235
"guided,4", 12, 0.18625, 0.0029265
"guided,4", 16, 0.132524, 0.0134465
