RESULTS LOOP 1
 
schedule, num-threads, mean time (s), std
"static", 4, 0.723497, 0.000842
"auto", 4, 0.43542, 0.015511
"static,1", 4, 0.550165, 0.002555
"static,2", 4, 0.486251, 0.057505
"static,4", 4, 0.428212, 0.000371
"static,8", 4, 0.488181, 0.055126
"static,16", 4, 0.445819, 7e-05
"static,32", 4, 0.525868, 0.0364865
"static,64", 4, 0.555424, 0.0250135
"dynamic,1", 4, 0.47848, 0.0015935
"dynamic,2", 4, 0.462622, 0.00178
"dynamic,4", 4, 0.441198, 0.011569
"dynamic,8", 4, 0.436909, 0.011863
"dynamic,16", 4, 0.44898, 0.000205
"dynamic,32", 4, 0.435113, 0.014201
"dynamic,64", 4, 0.466434, 0.0039785
"guided,1", 4, 0.435443, 0.0137745
"guided,2", 4, 0.468391, 0.0192935
"guided,4", 4, 0.467486, 0.019934
"guided,8", 4, 0.454649, 0.0362025
"guided,16", 4, 0.469016, 0.0226245
"guided,32", 4, 0.444764, 0.019956
"guided,64", 4, 0.455446, 0.0283115
"guided,4", 1, 1.64585, 6.15e-05
"guided,4", 2, 0.827224, 3.4e-05
"guided,4", 4, 0.434456, 0.014147
"guided,4", 8, 0.263531, 0.004351
"guided,4", 16, 0.12932, 0.000432
