RESULTS LOOP 2

schedule, num-threads, mean time (s), std
"static", 4, 6.32277, 0.001485
"auto", 4, 5.52259, 0.0029505
"static,1", 4, 3.89969, 0.105702
"static,2", 4, 2.9067, 0.032117
"static,4", 4, 2.61396, 0.0918105
"static,8", 4, 2.37824, 0.006285
"static,16", 4, 3.16403, 0.0001535
"static,32", 4, 4.87186, 0.0001305
"static,64", 4, 5.5275, 0.0017325
"dynamic,1", 4, 2.69479, 0.0978325
"dynamic,2", 4, 2.67262, 0.063354
"dynamic,4", 4, 2.57957, 0.007691
"dynamic,8", 4, 2.2415, 0.0031445
"dynamic,16", 4, 2.25146, 0.004786
"dynamic,32", 4, 3.94794, 0.0117105
"dynamic,64", 4, 5.00432, 0.002222
"guided,1", 4, 5.52198, 0.0031605
"guided,2", 4, 5.52719, 0.0045995
"guided,4", 4, 5.62749, 0.104228
"guided,8", 4, 5.52781, 0.0081
"guided,16", 4, 5.52476, 0.0015755
"guided,32", 4, 5.54015, 0.0165285
"guided,64", 4, 5.52706, 0.0050795
"guided,4", 1, 8.80258, 0.000104
"guided,4", 2, 6.31915, 0.0020735
"guided,4", 4, 5.52468, 0.0006515
"guided,4", 8, 4.47817, 0.0039855
"guided,4", 16, 2.90897, 0.0078835
