RESULTS LOOP 2

schedule, num-threads, mean time (s), std
"static", 4, , 
"auto", 4, , 
"static,1", 4, , 
"static,2", 4, , 
"static,4", 4, , 
"static,8", 4, , 
"static,16", 4, , 
"static,32", 4, , 
"static,64", 4, , 
"dynamic,1", 4, , 
"dynamic,2", 4, , 
"dynamic,4", 4, , 
"dynamic,8", 4, , 
"dynamic,16", 4, , 
"dynamic,32", 4, , 
"dynamic,64", 4, , 
"guided,1", 4, , 
"guided,2", 4, , 
"guided,4", 4, , 
"guided,8", 4, , 
"guided,16", 4, , 
"guided,32", 4, , 
"guided,64", 4, , 
"dynamic,8", 1, , 
